CHR	start	end	geneSymbol	ENSEMBLE_ID
1.0	11872.0	14409.0	DDX11L1	ENST00000518655
1.0	69089.0	70008.0	OR4F5	ENST00000335137
1.0	134771.0	140566.0	RP11-34P13.14	ENST00000493797
1.0	322035.0	326938.0	LOC100133331	ENST00000440038
1.0	323890.0	328581.0	LOC100132062	ENST00000440038
1.0	367657.0	368597.0	OR4F29	ENST00000426406
1.0	621094.0	622034.0	OR4F16	ENST00000332831
1.0	761584.0	762902.0	LINC00115	ENST00000473798
1.0	860528.0	871276.0	SAMD11	ENST00000420190
1.0	861119.0	879961.0	SAMD11	ENST00000342066
1.0	874653.0	879533.0	SAMD11	ENST00000455979
1.0	876522.0	879961.0	SAMD11	ENST00000341065
1.0	879581.0	894679.0	NOC2L	ENST00000327044
1.0	879581.0	893918.0	NOC2L	ENST00000477976
1.0	879581.0	882440.0	NOC2L	ENST00000483767
1.0	893647.0	894679.0	NOC2L	ENST00000469563
1.0	895965.0	901099.0	KLHL17	ENST00000338591
1.0	896827.0	897858.0	KLHL17	ENST00000463212
1.0	901875.0	910484.0	PLEKHN1	ENST00000379409
1.0	901875.0	910484.0	PLEKHN1	ENST00000379410
1.0	910577.0	917473.0	PERM1	ENST00000433179
1.0	934340.0	935552.0	HES4	ENST00000428771
1.0	948845.0	949919.0	ISG15	ENST00000379389
1.0	955501.0	991499.0	AGRN	ENST00000379370
1.0	1007124.0	1009687.0	RNF223	ENST00000453464
1.0	1017196.0	1051736.0	C1orf159	ENST00000294576
1.0	1017196.0	1027554.0	C1orf159	ENST00000379320
1.0	1017196.0	1051736.0	C1orf159	ENST00000448924
1.0	1072395.0	1079434.0	LINC01342	ENST00000416774
1.0	1108434.0	1114935.0	TTLL10-AS1	ENST00000379317
1.0	1109284.0	1133313.0	TTLL10	ENST00000379289
1.0	1109284.0	1133313.0	TTLL10	ENST00000379290
1.0	1115075.0	1121243.0	TTLL10	ENST00000379288
1.0	1138886.0	1142089.0	TNFRSF18	ENST00000379268
1.0	1146704.0	1149548.0	TNFRSF4	ENST00000379236
1.0	1146718.0	1149548.0	TNFRSF4	ENST00000497869
1.0	1152286.0	1167447.0	SDF4	ENST00000263741
1.0	1158102.0	1159348.0	SDF4	ENST00000403997
1.0	1167627.0	1170420.0	B3GALT6	ENST00000379198
1.0	1177824.0	1182102.0	C1QTNF12	ENST00000330388
1.0	1189290.0	1209234.0	UBE2J2	ENST00000347370
1.0	1189290.0	1209234.0	UBE2J2	ENST00000450390
1.0	1215814.0	1227409.0	SCNN1D	ENST00000379116
1.0	1217487.0	1227409.0	SCNN1D	ENST00000325425
1.0	1227762.0	1243269.0	ACAP3	ENST00000354700
1.0	1227762.0	1241309.0	ACAP3	ENST00000492936
1.0	1234122.0	1244989.0	ACAP3	ENST00000472541
1.0	1243992.0	1247057.0	PUSL1	ENST00000379031
1.0	1244464.0	1247057.0	PUSL1	ENST00000493657
1.0	1246963.0	1260067.0	INTS11	ENST00000323275
1.0	1246963.0	1260067.0	INTS11	ENST00000411962
1.0	1246963.0	1260067.0	INTS11	ENST00000421495
1.0	1246963.0	1260067.0	INTS11	ENST00000435064
1.0	1246963.0	1260067.0	INTS11	ENST00000458452
1.0	1254059.0	1260067.0	INTS11	ENST00000498173
1.0	1254075.0	1260067.0	INTS11	ENST00000496353
1.0	1260141.0	1264276.0	CPTP	ENST00000343938
1.0	1266724.0	1269844.0	TAS1R3	ENST00000339381
1.0	1270656.0	1275557.0	DVL1	ENST00000378888
1.0	1270656.0	1284492.0	DVL1	ENST00000378891
1.0	1288069.0	1293915.0	MXRA8	ENST00000309212
1.0	1288069.0	1293915.0	MXRA8	ENST00000445648
1.0	1288069.0	1297157.0	MXRA8	ENST00000477278
1.0	1309108.0	1310562.0	AURKAIP1	ENST00000321751
1.0	1309108.0	1310818.0	AURKAIP1	ENST00000338338
1.0	1309108.0	1310246.0	AURKAIP1	ENST00000338370
1.0	1309108.0	1310580.0	AURKAIP1	ENST00000378853
1.0	1321089.0	1334718.0	CCNL2	ENST00000480479
1.0	1321089.0	1334718.0	CCNL2	ENST00000496007
1.0	1334908.0	1337426.0	MRPL20-AS1	ENST00000444362
1.0	1337274.0	1342693.0	MRPL20	ENST00000344843
1.0	1340411.0	1342693.0	MRPL20	ENST00000482352
1.0	1353798.0	1356824.0	ANKRD65	ENST00000427211
1.0	1353798.0	1356824.0	ANKRD65	ENST00000520296
1.0	1353798.0	1356824.0	ANKRD65	ENST00000537107
1.0	1361506.0	1363167.0	TMEM88B	ENST00000378821
1.0	1370901.0	1378262.0	VWA1	ENST00000404702
1.0	1370901.0	1378262.0	VWA1	ENST00000476993
1.0	1385067.0	1405538.0	ATAD3C	ENST00000378785
1.0	1407162.0	1444689.0	ATAD3B	ENST00000308647
1.0	1413404.0	1431582.0	ATAD3B	ENST00000472194
1.0	1447521.0	1470067.0	ATAD3A	ENST00000378755
1.0	1447521.0	1470067.0	ATAD3A	ENST00000378756
1.0	1447908.0	1470067.0	ATAD3A	ENST00000536055
1.0	1470156.0	1475740.0	TMEM240	ENST00000378733
1.0	1477051.0	1510262.0	SSU72	ENST00000291386
1.0	1497730.0	1510262.0	SSU72	ENST00000359060
1.0	1533386.0	1535476.0	FNDC10	ENST00000422725
1.0	1550793.0	1565990.0	MIB2	ENST00000357210
1.0	1550793.0	1554590.0	MIB2	ENST00000477990
1.0	1551243.0	1565990.0	MIB2	ENST00000487053
1.0	1551688.0	1565990.0	MIB2	ENST00000504599
1.0	1559152.0	1565990.0	MIB2	ENST00000360522
1.0	1560369.0	1565990.0	MIB2	ENST00000378710
1.0	1564484.0	1565990.0	MIB2	ENST00000511910
1.0	1567558.0	1570030.0	MMP23B	ENST00000356026
1.0	1567558.0	1570030.0	MMP23B	ENST00000378675
1.0	1571098.0	1655775.0	CDK11B	ENST00000341832
1.0	1590986.0	1677438.0	SLC35E2B	ENST00000378662
1.0	1592937.0	1624243.0	SLC35E2B	ENST00000234800
1.0	1601875.0	1624243.0	SLC35E2B	ENST00000481276
1.0	1631376.0	1633247.0	MMP23A	ENST00000412810
1.0	1634168.0	1655791.0	CDK11A	ENST00000356200
1.0	1635661.0	1655791.0	CDK11A	ENST00000358779
1.0	1635987.0	1655791.0	CDK11A	ENST00000404249
1.0	1640231.0	1655791.0	CDK11A	ENST00000357760
1.0	1640231.0	1655791.0	CDK11A	ENST00000378633
1.0	1640955.0	1655543.0	CDK11A	ENST00000509982
1.0	1647783.0	1655543.0	CDK11A	ENST00000479362
1.0	1656052.0	1663343.0	AK097814	ENST00000417099
1.0	1656275.0	1677438.0	RP1-283E3.8	ENST00000355439
1.0	1658822.0	1677438.0	RP1-283E3.8	ENST00000246421
1.0	1682669.0	1709909.0	NADK	ENST00000341426
1.0	1682669.0	1710297.0	NADK	ENST00000341991
1.0	1682669.0	1711508.0	NADK	ENST00000378625
1.0	1716723.0	1822526.0	GNB1	ENST00000378609
1.0	1846264.0	1848733.0	CALML6	ENST00000307786
1.0	1849027.0	1850740.0	TMEM52	ENST00000310991
1.0	1849027.0	1850236.0	TMEM52	ENST00000378602
1.0	1853394.0	1859368.0	CFAP74	ENST00000464311
1.0	1884750.0	1935276.0	CFAP74	ENST00000270720
1.0	1915108.0	1935276.0	CFAP74	ENST00000378592
1.0	1950766.0	1962192.0	GABRD	ENST00000378585
1.0	1981907.0	2116834.0	PRKCZ	ENST00000378567
1.0	2005084.0	2116834.0	PRKCZ	ENST00000400921
1.0	2005423.0	2116834.0	PRKCZ	ENST00000461106
1.0	2036153.0	2116834.0	PRKCZ	ENST00000400920
1.0	2076794.0	2088167.0	PRKCZ	ENST00000503672
1.0	2100285.0	2116834.0	PRKCZ	ENST00000505322
1.0	2115897.0	2126214.0	FAAP20	ENST00000414253
1.0	2115897.0	2139172.0	FAAP20	ENST00000469733
1.0	2120986.0	2126214.0	FAAP20	ENST00000378546
1.0	2123332.0	2126214.0	FAAP20	ENST00000420515
1.0	2160132.0	2241652.0	SKI	ENST00000378536
1.0	2252694.0	2322993.0	MORN1	ENST00000378531
1.0	2263563.0	2322993.0	MORN1	ENST00000606372
1.0	2286614.0	2322993.0	MORN1	ENST00000378529
1.0	2309492.0	2322993.0	MORN1	ENST00000378525
1.0	2323212.0	2336885.0	RER1	ENST00000605895
1.0	2336239.0	2344010.0	PEX10	ENST00000288774
1.0	2336239.0	2344010.0	PEX10	ENST00000447513
1.0	2407752.0	2436964.0	PLCH2	ENST00000378486
1.0	2411621.0	2436969.0	PLCH2	ENST00000343889
1.0	2411621.0	2436964.0	PLCH2	ENST00000378488
1.0	2411621.0	2436965.0	PLCH2	ENST00000449969
1.0	2430181.0	2436964.0	PLCH2	ENST00000462379
1.0	2439973.0	2458035.0	PANK4	ENST00000378466
1.0	2460182.0	2461684.0	HES5	ENST00000378453
1.0	2486161.0	2488450.0	TNFRSF14-AS1	ENST00000416860
1.0	2487803.0	2495267.0	TNFRSF14	ENST00000355716
1.0	2487803.0	2490438.0	TNFRSF14	ENST00000442392
1.0	2487803.0	2495188.0	TNFRSF14	ENST00000463471
1.0	2487803.0	2492974.0	TNFRSF14	ENST00000496064
1.0	2517897.0	2522908.0	PRXL2B	ENST00000419916
1.0	2518187.0	2522908.0	PRXL2B	ENST00000378424
1.0	2518515.0	2522908.0	PRXL2B	ENST00000484099
1.0	2522079.0	2564481.0	MMEL1	ENST00000288709
1.0	2572805.0	2706230.0	TTC34	ENST00000401095
1.0	2938044.0	2939467.0	ACTRT2	ENST00000378404
1.0	2980634.0	2984289.0	PRDM16-DT	ENST00000321336
1.0	2985740.0	3355185.0	PRDM16	ENST00000441472
1.0	2985740.0	3355185.0	PRDM16	ENST00000442529
1.0	3371145.0	3397677.0	ARHGEF16	ENST00000378378
